trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-139.78208403610913,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-39.85715167757459,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-125.75707384941191,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",35,0,-165.07741231282864,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-33.64345524686545,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",35,0,-180.1593998922932,"{0: 21, 1: 6, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,13,-0.19938119704400137,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-169.9177674762879,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,0,-45.78519163483931,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",25,11,-6.669760675824848,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,13,-1.824018868266669,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,0,6.170817771615526,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",30,1,-13.192947681203073,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,0,-7.990734318796723,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",25,0,-21.614641399564558,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",25,0,-115.02378188811102,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",20,0,-30.322391989406512,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",30,0,-141.12115300129622,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,11,-23.3919753477478,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",30,22,12.608257863752414,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,0,-2.4510339283793874,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",30,2,-30.409071693170052,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,10,3.922177555013983,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",30,0,20.43285942229922,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,2,-21.610628495423324,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",30,11,-20.78432103637149,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",30,0,13.93245423463517,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",20,16,7.566026283917434,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,8,9.786388702311667,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,3,-16.52520875617402,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",25,16,-14.942348304735035,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",25,13,20.570218703541617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,9,20.025108592365857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",25,2,-21.90841823082062,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",30,3,-85.0091441818769,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",20,12,15.021689213777044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,16,7.892934361860359,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",20,10,7.371827426048776,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",25,14,24.492086275887562,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,0,30.516568963645422,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",30,18,-61.348271724052296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",25,13,26.12514805379996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",20,6,25.47163109608426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",30,16,10.912355464665524,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",25,14,-35.36904522066532,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",30,14,17.722627413730933,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",20,6,10.146704607940896,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,6,-58.56276981888769,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,16,8.205808984365907,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",25,14,9.602495925103398,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",25,20,10.461280117552318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",25,16,14.457350046388681,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",35,17,18.851012803806395,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",20,14,11.858297408417911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",30,14,30.696665983650533,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",20,16,5.596782725245033,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",25,15,20.118671126697745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",20,16,7.577907829035729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",25,4,22.16169566838178,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
