trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.84516402198736,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.80610116778348,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.89490488325531,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.52487536696935,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.66142708338745,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.8629302510715,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.65087507842835,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-162.92089878650478,"{0: 16, 1: 4, 2: 14, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.19187932469616,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.7881372681857,"{0: 18, 1: 8, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.22271724547939,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.21489927234086,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.25374858075796,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.99127379137168,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.85989183537804,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-63.10509606365506,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.57885978244273,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-317.68724227956244,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 5}",0
